feature name,description,unit,feature category,feature type,dataset name short,reflecting period,citation,data source,data source local
feat_topo_amatulli_dx10kmmd,"First order partial derivative (E-W slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.61",https://doi.pangaea.de/10.1594/PANGAEA.867136,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dx_dx_10KMmd_GMTEDmd.tif
feat_topo_amatulli_dxmd,"First order partial derivative (E-W slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.62",https://doi.pangaea.de/10.1594/PANGAEA.867137,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dx_dx_1KMmd_GMTEDmd.tif
feat_topo_amatulli_dx50kmmd,"First order partial derivative (E-W slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.63",https://doi.pangaea.de/10.1594/PANGAEA.867138,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dx_dx_50KMmd_GMTEDmd.tif
feat_topo_amatulli_dx5kmmd,"First order partial derivative (E-W slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.64",https://doi.pangaea.de/10.1594/PANGAEA.867139,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dx_dx_5KMmd_GMTEDmd.tif
feat_topo_amatulli_dxx100kmmd,"Second order partial derivative (E-W slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.65",https://doi.pangaea.de/10.1594/PANGAEA.867140,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dxx_dxx_100KMmd_GMTEDmd.tif
feat_topo_amatulli_dxx10kmmd,"Second order partial derivative (E-W slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.66",https://doi.pangaea.de/10.1594/PANGAEA.867141,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dxx_dxx_10KMmd_GMTEDmd.tif
feat_topo_amatulli_dxxmd,"Second order partial derivative (E-W slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.67",https://doi.pangaea.de/10.1594/PANGAEA.867142,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dxx_dxx_1KMmd_GMTEDmd.tif
feat_topo_amatulli_dxx50kmmd,"Second order partial derivative (E-W slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.68",https://doi.pangaea.de/10.1594/PANGAEA.867143,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dxx_dxx_50KMmd_GMTEDmd.tif
feat_topo_amatulli_dxx5kmmd,"Second order partial derivative (E-W slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.69",https://doi.pangaea.de/10.1594/PANGAEA.867144,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dxx_dxx_5KMmd_GMTEDmd.tif
feat_topo_amatulli_dy100kmmd,"First order partial derivative (N-S slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.70",https://doi.pangaea.de/10.1594/PANGAEA.867145,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dy_dy_100KMmd_GMTEDmd.tif
feat_topo_amatulli_dy10kmmd,"First order partial derivative (N-S slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.71",https://doi.pangaea.de/10.1594/PANGAEA.867146,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dy_dy_10KMmd_GMTEDmd.tif
feat_topo_amatulli_dymd,"First order partial derivative (N-S slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.72",https://doi.pangaea.de/10.1594/PANGAEA.867147,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dy_dy_1KMmd_GMTEDmd.tif
feat_topo_amatulli_dy50kmmd,"First order partial derivative (N-S slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.73",https://doi.pangaea.de/10.1594/PANGAEA.867148,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dy_dy_50KMmd_GMTEDmd.tif
feat_topo_amatulli_dy5kmmd,"First order partial derivative (N-S slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.74",https://doi.pangaea.de/10.1594/PANGAEA.867149,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dy_dy_5KMmd_GMTEDmd.tif
feat_topo_amatulli_dyy100kmmd,"Second order partial derivative (N-S slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.75",https://doi.pangaea.de/10.1594/PANGAEA.867150,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dyy_dyy_100KMmd_GMTEDmd.tif
feat_topo_amatulli_dyy10kmmd,"Second order partial derivative (N-S slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.76",https://doi.pangaea.de/10.1594/PANGAEA.867151,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dyy_dyy_10KMmd_GMTEDmd.tif
feat_topo_amatulli_dyymd,"Second order partial derivative (N-S slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.77",https://doi.pangaea.de/10.1594/PANGAEA.867152,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dyy_dyy_1KMmd_GMTEDmd.tif
feat_topo_amatulli_dyy50kmmd,"Second order partial derivative (N-S slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.78",https://doi.pangaea.de/10.1594/PANGAEA.867153,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dyy_dyy_50KMmd_GMTEDmd.tif
feat_topo_amatulli_dyy5kmmd,"Second order partial derivative (N-S slope), describes tha rate of change of curvature while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.79",https://doi.pangaea.de/10.1594/PANGAEA.867154,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dyy_dyy_5KMmd_GMTEDmd.tif
feat_topo_amatulli_elevation100kmmd,Surface elevation,m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.80",https://doi.pangaea.de/10.1594/PANGAEA.867155,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_elevation_elevation_100KMmd_GMTEDmd.tif
feat_topo_amatulli_elevation10kmmd,Surface elevation,m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.81",https://doi.pangaea.de/10.1594/PANGAEA.867156,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_elevation_elevation_10KMmd_GMTEDmd.tif
feat_topo_amatulli_elevationmd,Surface elevation,m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.82",https://doi.pangaea.de/10.1594/PANGAEA.867157,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_elevation_elevation_1KMmd_GMTEDmd.tif
feat_topo_amatulli_elevation50kmmd,Surface elevation,m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.83",https://doi.pangaea.de/10.1594/PANGAEA.867158,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_elevation_elevation_50KMmd_GMTEDmd.tif
feat_topo_amatulli_elevation5kmmd,Surface elevation,m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.84",https://doi.pangaea.de/10.1594/PANGAEA.867159,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_elevation_elevation_5KMmd_GMTEDmd.tif
feat_topo_amatulli_geom100kment,Entropy quantifies the disorderliness of the spatial arrangement of pixel values (landform types in this case) within the aggregation window. A higher value indicates that different landform types are distributed more randomly within an aggregated window.,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.85",https://doi.pangaea.de/10.1594/PANGAEA.867160,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_ent_geom_100KMent_GMTEDmd.tif
feat_topo_amatulli_geom10kment,Entropy quantifies the disorderliness of the spatial arrangement of pixel values (landform types in this case) within the aggregation window. A higher value indicates that different landform types are distributed more randomly within an aggregated window.,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.86",https://doi.pangaea.de/10.1594/PANGAEA.867161,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_ent_geom_10KMent_GMTEDmd.tif
feat_topo_amatulli_geoment,Entropy quantifies the disorderliness of the spatial arrangement of pixel values (landform types in this case) within the aggregation window. A higher value indicates that different landform types are distributed more randomly within an aggregated window.,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.87",https://doi.pangaea.de/10.1594/PANGAEA.867162,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_ent_geom_1KMent_GMTEDmd.tif
feat_topo_amatulli_geom50kment,Entropy quantifies the disorderliness of the spatial arrangement of pixel values (landform types in this case) within the aggregation window. A higher value indicates that different landform types are distributed more randomly within an aggregated window.,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.88",https://doi.pangaea.de/10.1594/PANGAEA.867163,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_ent_geom_50KMent_GMTEDmd.tif
feat_topo_amatulli_geom5kment,Entropy quantifies the disorderliness of the spatial arrangement of pixel values (landform types in this case) within the aggregation window. A higher value indicates that different landform types are distributed more randomly within an aggregated window.,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.89",https://doi.pangaea.de/10.1594/PANGAEA.867164,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_ent_geom_5KMent_GMTEDmd.tif
feat_topo_amatulli_geom100kmmaj,"Majority: The landform class that covers most grid cells of the aggregation window. In case where more than one class is predominant (same number of pixels), a random selection was permitted to choose only one class.",-,topo,nominal,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.90",https://doi.pangaea.de/10.1594/PANGAEA.867165,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_maj_geom_100KMmaj_GMTEDmd.tif
feat_topo_amatulli_geom10kmmaj,"Majority: The landform class that covers most grid cells of the aggregation window. In case where more than one class is predominant (same number of pixels), a random selection was permitted to choose only one class.",-,topo,nominal,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.91",https://doi.pangaea.de/10.1594/PANGAEA.867166,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_maj_geom_10KMmaj_GMTEDmd.tif
feat_topo_amatulli_geommaj,"Majority: The landform class that covers most grid cells of the aggregation window. In case where more than one class is predominant (same number of pixels), a random selection was permitted to choose only one class.",-,topo,nominal,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.92",https://doi.pangaea.de/10.1594/PANGAEA.867167,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_maj_geom_1KMmaj_GMTEDmd.tif
feat_topo_amatulli_geom50kmmaj,"Majority: The landform class that covers most grid cells of the aggregation window. In case where more than one class is predominant (same number of pixels), a random selection was permitted to choose only one class.",-,topo,nominal,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.93",https://doi.pangaea.de/10.1594/PANGAEA.867168,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_maj_geom_50KMmaj_GMTEDmd.tif
feat_topo_amatulli_geom5kmmaj,"Majority: The landform class that covers most grid cells of the aggregation window. In case where more than one class is predominant (same number of pixels), a random selection was permitted to choose only one class.",-,topo,nominal,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.94",https://doi.pangaea.de/10.1594/PANGAEA.867169,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_maj_geom_5KMmaj_GMTEDmd.tif
feat_topo_amatulli_pcurv100kmmd,Median of the profile curvatures within the aggregation window. The profile curvatures identifies concavity and convexity in the direction of the slope.,rad/m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.95",https://doi.pangaea.de/10.1594/PANGAEA.867170,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_pcurv_pcurv_100KMmd_GMTEDmd.tif
feat_topo_amatulli_pcurv10kmmd,Median of the profile curvatures within the aggregation window. The profile curvatures identifies concavity and convexity in the direction of the slope.,rad/m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.96",https://doi.pangaea.de/10.1594/PANGAEA.867171,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_pcurv_pcurv_10KMmd_GMTEDmd.tif
feat_topo_amatulli_pcurvmd,Median of the profile curvatures within the aggregation window. The profile curvatures identifies concavity and convexity in the direction of the slope.,rad/m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.97",https://doi.pangaea.de/10.1594/PANGAEA.867172,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_pcurv_pcurv_1KMmd_GMTEDmd.tif
feat_topo_amatulli_pcurv50kmmd,Median of the profile curvatures within the aggregation window. The profile curvatures identifies concavity and convexity in the direction of the slope.,rad/m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.98",https://doi.pangaea.de/10.1594/PANGAEA.867173,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_pcurv_pcurv_50KMmd_GMTEDmd.tif
feat_topo_amatulli_pcurv5kmmd,Median of the profile curvatures within the aggregation window. The profile curvatures identifies concavity and convexity in the direction of the slope.,rad/m,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.99",https://doi.pangaea.de/10.1594/PANGAEA.867174,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_pcurv_pcurv_5KMmd_GMTEDmd.tif
feat_topo_amatulli_geomflat100kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.100",https://doi.pangaea.de/10.1594/PANGAEA.867175,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomflat_100KMperc_GMTEDmd.tif
feat_topo_amatulli_geomflat10kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.101",https://doi.pangaea.de/10.1594/PANGAEA.867176,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomflat_10KMperc_GMTEDmd.tif
feat_topo_amatulli_geomflatperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.102",https://doi.pangaea.de/10.1594/PANGAEA.867177,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomflat_1KMperc_GMTEDmd.tif
feat_topo_amatulli_geomflat50kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.103",https://doi.pangaea.de/10.1594/PANGAEA.867178,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomflat_50KMperc_GMTEDmd.tif
feat_topo_amatulli_geomflat5kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.104",https://doi.pangaea.de/10.1594/PANGAEA.867179,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomflat_5KMperc_GMTEDmd.tif
feat_topo_amatulli_geomfootslope100kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.105",https://doi.pangaea.de/10.1594/PANGAEA.867180,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomfootslope_100KMperc_GMTEDmd.tif
feat_topo_amatulli_geomfootslope10kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.106",https://doi.pangaea.de/10.1594/PANGAEA.867181,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomfootslope_10KMperc_GMTEDmd.tif
feat_topo_amatulli_geomfootslopeperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.107",https://doi.pangaea.de/10.1594/PANGAEA.867182,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomfootslope_1KMperc_GMTEDmd.tif
feat_topo_amatulli_geomfootslope50kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.108",https://doi.pangaea.de/10.1594/PANGAEA.867183,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomfootslope_50KMperc_GMTEDmd.tif
feat_topo_amatulli_geomfootslope5kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.109",https://doi.pangaea.de/10.1594/PANGAEA.867184,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomfootslope_5KMperc_GMTEDmd.tif
feat_topo_amatulli_geomhollow100kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.110",https://doi.pangaea.de/10.1594/PANGAEA.867185,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomhollow_100KMperc_GMTEDmd.tif
feat_topo_amatulli_geomhollow10kmperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.111",https://doi.pangaea.de/10.1594/PANGAEA.867186,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomhollow_10KMperc_GMTEDmd.tif
feat_topo_amatulli_geomhollowperc,proportion of this landform type within the aggregation window.,% * 100,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.112",https://doi.pangaea.de/10.1594/PANGAEA.867187,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_perc_geomhollow_1KMperc_GMTEDmd.tif
